Components,Melting Temperature,Delta elec,SMILES
1-dodecyl-3-methylimidazolium chloride,369.8,1.0,[Cl-].C(CCCCCCCCCCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,281.0,0.0,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium chloride,339.1,1.0,[Cl-].C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium chloride,314.1,1.0,[Cl-].C(CCC)N1C=[N+](C=C1)C
3-p-iodobenzoyloxyethyl-1-methylimidazolium tetrafluoroborate,387.1,2.0,F[B-](F)(F)F.IC1=CC=C(C(=O)OCC[N+]2=CN(C=C2)C)C=C1
3-m-iodobenzoyloxyethyl-1-methylimidazolium tetrafluoroborate,350.6,3.0,F[B-](F)(F)F.IC=1C=C(C(=O)OCC[N+]2=CN(C=C2)C)C=CC1
1-propyl-3-methylimidazolium tetrafluoroborate,256.1,1.0,F[B-](F)(F)F.C(CC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,286.1,1.0,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
methyltriphenylphosphonium bromide,503.1,0.0,[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
1-ethyl-3-methylimidazolium ethyl sulfate,236.3,2.4,S(=O)(=O)(OCC)[O-].C(C)N1C=[N+](C=C1)C
"1,3-diethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",262.6,0.4,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)CC
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,279.16,0.5,
1-ethyl-3-methylimidazolium nitrate,311.8,1.1,[N+](=O)([O-])[O-].C(C)N1C=[N+](C=C1)C
lithium bis((trifluoromethyl)sulfonyl)amide,506.0,10.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.[Li+]
1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,359.1,2.0,[Cl-].OCCN1C=[N+](C=C1)C
methyltrioctylammonium trifluoroacetate,285.62,0.21,FC(C(=O)[O-])(F)F.C[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,262.23,0.6,FC(S(=O)(=O)[O-])(F)F.C(C)N1C=[N+](C=C1)C
1-(2-methoxyethyl)-3-methyl-imidazolium hexafluorophosphate,288.1,1.0,F[P-](F)(F)(F)(F)F.COCCN1C=[N+](C=C1)C
1-benzyl-3-methylimidazolium hexafluorophosphate,403.1,4.0,F[P-](F)(F)(F)(F)F.C(C1=CC=CC=C1)N1C=[N+](C=C1)C
1-methyl-3-(2-phenylethyl)-1H-imidazolium hexafluorophosphate,376.1,4.0,F[P-](F)(F)(F)(F)F.CN1C=[N+](C=C1)CCC1=CC=CC=C1
1-nonyl-3-methylimidazolium hexafluorophosphate,287.1,4.0,F[P-](F)(F)(F)(F)F.C(CCCCCCCC)N1C=[N+](C=C1)C
1-decyl-3-methylimidazolium hexafluorophosphate,305.1,4.0,F[P-](F)(F)(F)(F)F.C(CCCCCCCCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium hexafluorophosphate,331.1,4.0,F[P-](F)(F)(F)(F)F.C(C)N1C=[N+](C=C1)C
1-methyl-3-propylimidazolium hexafluorophosphate,294.1,4.0,F[P-](F)(F)(F)(F)F.CN1C=[N+](C=C1)CCC
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,252.2,4.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,267.1,4.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)C
