Components,Melting Temperature,Delta elec,SMILES
1-butyl-3-methylimidazolium chloride,314.1,6.0,[Cl-].C(CCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium chloride,353.1,6.0,[Cl-].C(C)N1C=[N+](C=C1)C
1-methyl-3-octadecylimidazolium tetrafluoroborate,339.1,6.0,F[B-](F)(F)F.CN1C=[N+](C=C1)CCCCCCCCCCCCCCCCCC
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,272.0,0.4,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,270.35,0.05,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium hexafluorophosphate,334.1,1.2,F[P-](F)(F)(F)(F)F.C(C)N1C=[N+](C=C1)C
1-methyl-3-pentylimidazolium chloride,349.1,1.8,[Cl-].CN1C=[N+](C=C1)CCCCC
3-(3-cyanopropyl)-1-methylimidazolium chloride,363.45,0.5,[Cl-].C(#N)CCC[N+]1=CN(C=C1)C
1-butyronitrile-3-methylimidazolium hexafluorophosphate,345.15,0.5,
butyronitriletrimethylammonium bis(trifluoromethanesulfonyl)imide,331.25,0.5,
Butyronitriletrimethylammonium hexafluorophosphate,435.65,0.5,
Butyronitriletrimethylammonium tetrafluoroborate,334.05,0.5,
N-butyronitrile pyridinium hexafluorophosphate,374.15,0.5,F[P-](F)(F)(F)(F)F.[NH+]1=CC=CC=C1.C(CCC)#N
N-butyronitrile pyridinium tetrafluoroborate,333.95,0.5,F[B-](F)(F)F.[NH+]1=CC=CC=C1.C(CCC)#N
N-butyronitrile pyridinium chloride,342.35,0.5,[Cl-].[NH+]1=CC=CC=C1.C(CCC)#N
"1-butyronitrile-2,3-dimethylimidazolium hexafluorophosphate",363.65,0.5,
1-butylpyridinium tetrafluoroborate,279.79,0.05,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-ethyl-3-methylimidazolium octyl sulfate,283.0,4.0,S(=O)(=O)(OCCCCCCCC)[O-].C(C)N1C=[N+](C=C1)C
propylammonium formate,307.1,4.0,C(=O)[O-].C(CC)[NH3+]
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,269.6,4.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)C
"1-dodecyl-4-methyl-1H-1,2,4-triazol-4-ium bis((trifluoromethyl)sulfonyl)amide",292.9,4.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCCCCCCCC)N1N=C[N+](=C1)C
"1-decyl-4-methyl-1H-1,2,4-triazol-4-ium bis((trifluoromethyl)sulfonyl)amide",276.1,4.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCCCCCC)N1N=C[N+](=C1)C
1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,284.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[N+]1(CCCC1)CCC
"1,1'-[ethane-1,2-diylbis(oxyethane-2,1-diyl)]bis(3-methylimidazolium) hexafluorophosphate",364.0,2.0,F[P-](F)(F)(F)(F)F.C(COCCN1C=[N+](C=C1)C)OCCN1C=[N+](C=C1)C.F[P-](F)(F)(F)(F)F
1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,277.78,0.17,FC(S(=O)(=O)[O-])(F)F.C(CCC)[N+]1(CCCC1)C
1-butyl-1-methylpyrrolidinium tetracyanoborate,292.85,0.17,C(#N)[B-](C#N)(C#N)C#N.C(CCC)[N+]1(CCCC1)C
1-butyl-1-methylpyrrolidinium tetracyanoborate,292.77,0.41,C(#N)[B-](C#N)(C#N)C#N.C(CCC)[N+]1(CCCC1)C
1-butyl-1-methylpyrrolidinium tricyanomethanide,266.52,0.17,C(#N)[C-](C#N)C#N.C(CCC)[N+]1(CCCC1)C
1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,263.85,0.41,C(#N)[C-](C#N)C#N.C(C)N1C=[N+](C=C1)C
1-ethyl-1-methylpyrrolidinium ethyl sulfate,310.07,0.5,S(=O)(=O)(OCC)[O-].C(C)[N+]1(CCCC1)C
"1-butyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium thiocyanate",323.1,2.0,[S-]C#N.C(CCC)[N+]=1CCCN2C1CCCCC2
"1-ethyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium bromide",378.1,2.0,[Br-].C(C)[N+]=1CCCN2C1CCCCC2
"1-butyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium bromide",355.1,2.0,[Br-].C(CCC)[N+]=1CCCN2C1CCCCC2
"1-ethyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium thiocyanate",313.1,2.0,[S-]C#N.C(C)[N+]=1CCCN2C1CCCCC2
"1-tetradecyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium thiocyanate",321.1,2.0,[S-]C#N.C(CCCCCCCCCCCCC)[N+]=1CCCN2C1CCCCC2
"1-hexyl-1,4-diazabicyclo[2.2.2]octan-1-ium bis((trifluoromethyl)sulfonyl)amide",309.0,1.7,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCC)[N+]12CCN(CC1)CC2
1-ethyl-3-methylimidazolium tetrafluoroborate,288.1,1.0,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-hexylquinolinium bis(trifluoromethylsulfonyl)amide,318.0,1.1,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCC)[N+]1=CC=CC2=CC=CC=C12
N-hexylisoquinolinium bis(trifluoromethylsulfonyl)imide,328.3,1.1,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)[N+]1=CC2=CC=CC=C2C=C1
"1-(cyanomethyl)-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide",365.8,0.5,C(#N)C=1N=C([N-]C1C#N)C(F)(F)F.C(#N)CN1C=[N+](C=C1)C
"1-(cyanomethyl)-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide",366.1,1.1,C(#N)C=1N=C([N-]C1C#N)C(F)(F)F.C(#N)CN1C=[N+](C=C1)C
1-ethyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,355.9,1.1,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+]1(CCCCC1)C
1-hexylquinolinium bis(trifluoromethylsulfonyl)amide,318.0,0.4,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCC)[N+]1=CC=CC2=CC=CC=C12
"1-(cyanomethyl)-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide",365.8,0.4,C(#N)C=1N=C([N-]C1C#N)C(F)(F)F.C(#N)CN1C=[N+](C=C1)C
"1-phenyl-2-butyl-3,5-dimethylpyrazolium tetrafluoroborate",340.8,1.1,F[B-](F)(F)F.C1(=CC=CC=C1)[N+]=1N(C(=CC1C)C)CCCC
"1-phenyl-2,3,5-trimethylpyrazolium tetrafluoroborate",418.4,1.1,F[B-](F)(F)F.C1(=CC=CC=C1)[N+]=1N(C(=CC1C)C)C
"1-phenyl-3,5-dimethyl-2-propylpyrazolium methanesulfonate",365.6,1.1,CS(=O)(=O)[O-].C1(=CC=CC=C1)[N+]=1N(C(=CC1C)C)CCC
"1-phenyl-2-ethyl-3,5-dimethylpyrazolium methanesulfonate",395.6,1.1,CS(=O)(=O)[O-].C1(=CC=CC=C1)[N+]=1N(C(=CC1C)C)CC
"1-phenyl-3,5-dimethyl-2-propylpyrazolium tetrafluoroborate",353.1,1.1,F[B-](F)(F)F.C1(=CC=CC=C1)[N+]=1N(C(=CC1C)C)CCC
"1-phenyl-2-ethyl-3,5-dimethylpyrazolium tetrafluoroborate",386.1,1.1,F[B-](F)(F)F.C1(=CC=CC=C1)[N+]=1N(C(=CC1C)C)CC
1-butyl-3-methylimidazolium chloride,333.4,5.0,[Cl-].C(CCC)N1C=[N+](C=C1)C
3-methyl-1-(naphthalen-2-ylmethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,318.6,1.3,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C[N+]1=CN(C=C1)CC1=CC2=CC=CC=C2C=C1
"1,3-dibenzyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",314.9,1.3,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C1=CC=CC=C1)N1C=[N+](C=C1)CC1=CC=CC=C1
benzothiazolium p-toluenesulfonate,393.15,0.5,CC1=CC=C(C=C1)S(=O)(=O)[O-].S1C=[NH+]C2=C1C=CC=C2
benzothiazolium tetrafluoroborate,398.15,0.5,F[B-](F)(F)F.S1C=[NH+]C2=C1C=CC=C2
benzothiazolium trifluoromethanesulfonate,401.15,0.5,FC(S(=O)(=O)[O-])(F)F.S1C=[NH+]C2=C1C=CC=C2
benzothiazolium methanesulfonate,378.15,0.5,CS(=O)(=O)[O-].S1C=[NH+]C2=C1C=CC=C2
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,263.4,1.1,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)C
1-butyl-1-methylpyrrolidinium bis((perfluoroethyl)sulfonyl)amide,282.1,1.1,FC(C(F)(F)F)(S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)F.C(CCC)[N+]1(CCCC1)C
1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,284.6,1.1,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[N+]1(CCCC1)CCC
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,266.6,1.1,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C
1-methyl-1-propylpyrrolidin-1-ium bis((perfluoroethyl)sulfonyl)amide,279.6,1.1,FC(C(F)(F)F)(S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)F.C[N+]1(CCCC1)CCC
"1,1-dimethylpyrrolidinium bis((perfluoroethyl)sulfonyl)amide",406.4,1.1,FC(C(F)(F)F)(S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)F.C[N+]1(CCCC1)C
tetraethyammonium bis[(pentafluoroethyl)sulfonyl]imide,356.6,1.1,
"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",271.9,1.1,FC(C(F)(F)F)(S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)F.C(C)N1C=[N+](C=C1)C
tris(diethylamino)cyclopropenium bis(trifluoromethansulfonyl)amide,296.1,2.0,
1-hexyl-3-methylpyridinium 4-methylbenzenesulfonate,329.3,0.4,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(CCCCC)[N+]1=CC(=CC=C1)C
2-butylisoquinolinium bis[(trifluoromethyl)sulfonyl]amide,321.0,0.39,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)[N+]1=CC2=CC=CC=C2C=C1
1-hexylquinolinium bis(trifluoromethylsulfonyl)amide,317.2,0.39,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCC)[N+]1=CC=CC2=CC=CC=C12
1-ethyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,358.04,0.5,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+]1(CCCCC1)C
1-ethyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,357.71,0.5,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+]1(CCCCC1)C
1-butyl-1-methylpiperidinium thiocyanate,304.32,0.5,[S-]C#N.C(CCC)[N+]1(CCCCC1)C
1-butyl-1-methylpyrrolidinium tetracyanoborate,290.45,0.39,C(#N)[B-](C#N)(C#N)C#N.C(CCC)[N+]1(CCCC1)C
1-butyl-1-methylpyrrolidinium thiocyanate,295.4,0.9,[S-]C#N.C(CCC)[N+]1(CCCC1)C
1-butyl-1-ethylpyrrolidinium ethyl sulfate,326.0,2.0,S(=O)(=O)(OCC)[O-].C(CCC)[N+]1(CCCC1)CC
1-ethyl-1-methylpyrrolidinium ethyl sulfate,306.0,2.0,S(=O)(=O)(OCC)[O-].C(C)[N+]1(CCCC1)C
"N,N-diethyl-N-methylethanaminium methyl sulfate",306.0,2.0,S(=O)(=O)(OC)[O-].C(C)[N+](CC)(C)CC
diethylammonium hydrogen sulfate,354.1,1.0,S(=O)(=O)(O)[O-].C(C)[NH2+]CC
1-butylthianium bis(trifluoromethylsulfonyl)imide,263.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[S+]1CCCCC1
1-propylhexahydrothiopyrylium bis((trifluoromethyl)sulfonyl)amide,303.1,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CC)S[O+]1CCCCC1
1-propyltetrahydro-1H-thiophen-1-ium bis((trifluoromethyl)sulfonyl)amide,299.1,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CC)[S+]1CCCC1
"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",305.1,1.0,F[B-](F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C
"1-butyl-2,3-dimethylimidazolium hexafluorophosphate",311.1,3.0,F[P-](F)(F)(F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C
1-butyl-3-methylimidazolium bromide,346.1,2.0,[Br-].C(CCC)N1C=[N+](C=C1)C
1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,249.81,0.61,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C=[N+](C=C1)CCCCCCCC
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,271.45,0.61,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C
1-ethyl-3-methyl-1H-imidazolium tetrachloroaluminate,279.6,0.5,Cl[Al-](Cl)(Cl)Cl.C(C)N1C=[N+](C=C1)C
1-hexylpyridinium bis(trifluromethylsulfonyl)imide,276.4,0.5,
1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,317.6,0.5,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CC)[N+]1=CC=CC=C1
ammonium fluoride,383.1,1.0,[F-].[NH4+]
1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,285.7,0.4,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[N+]1(CCCCC1)CCC
3-methyl-1-octadecylpyridinium chloride,386.0,2.5,[Cl-].CC=1C=[N+](C=CC1)CCCCCCCCCCCCCCCCCC
3-methyl-1-octadecylpyridinium chloride,385.4,0.8,[Cl-].CC=1C=[N+](C=CC1)CCCCCCCCCCCCCCCCCC
1-hexadecyl-3-methylpyridinium chloride,383.1,2.5,[Cl-].C(CCCCCCCCCCCCCCC)[N+]1=CC(=CC=C1)C
1-tetradecyl-3-methylpyridinium chloride,367.7,2.5,[Cl-].C(CCCCCCCCCCCCC)[N+]1=CC(=CC=C1)C
1-tetradecyl-3-methylpyridinium chloride,366.8,0.8,[Cl-].C(CCCCCCCCCCCCC)[N+]1=CC(=CC=C1)C
1-dodecyl-3-methylpyridinium chloride,359.9,2.5,[Cl-].C(CCCCCCCCCCC)[N+]1=CC(=CC=C1)C
1-dodecyl-3-methylpyridinium chloride,360.8,0.8,[Cl-].C(CCCCCCCCCCC)[N+]1=CC(=CC=C1)C
1-decyl-3-methylpyridinium chloride,348.7,2.5,[Cl-].C(CCCCCCCCC)[N+]1=CC(=CC=C1)C
1-decyl-3-methylpyridinium chloride,352.5,0.8,[Cl-].C(CCCCCCCCC)[N+]1=CC(=CC=C1)C
1-octyl-3-methylpyridinium chloride,352.3,2.5,[Cl-].C(CCCCCCC)[N+]1=CC(=CC=C1)C
1-octyl-3-methylpyridinium chloride,353.2,0.8,[Cl-].C(CCCCCCC)[N+]1=CC(=CC=C1)C
1-hexyl-3-methylpyridinium chloride,353.0,2.5,[Cl-].C(CCCCC)[N+]1=CC(=CC=C1)C
1-hexyl-3-methylpyridinium chloride,355.1,0.8,[Cl-].C(CCCCC)[N+]1=CC(=CC=C1)C
1-butyl-3-methylpyridinium chloride,382.9,2.5,[Cl-].C(CCC)[N+]1=CC(=CC=C1)C
1-butyl-3-methylpyridinium chloride,384.5,0.8,[Cl-].C(CCC)[N+]1=CC(=CC=C1)C
1-hexadecyl-3-methylpyridinium chloride,383.0,0.8,[Cl-].C(CCCCCCCCCCCCCCC)[N+]1=CC(=CC=C1)C
1-methylimidazolium chloride,347.3,2.0,[Cl-].CN1C=[NH+]C=C1
"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",283.0,10.0,FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.C(CCCC)[N+]1(CCCC1)C
lithium bis((trifluoromethyl)sulfonyl)amide,509.0,10.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.[Li+]
"3,3'-(butane-1,4-diyl)bis(1-methyl-1H-imidazolium) hexafluorophosphate(V)",384.71,0.5,
1-butyl-3-methylimidazolium dicyanamide,267.0,1.0,[N-](C#N)C#N.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylpyridinium trifluoromethanesulfonate,267.0,1.0,FC(S(=O)(=O)[O-])(F)F.C(CCC)[N+]1=CC(=CC=C1)C
1-butyl-3-methylpyridinium trifluoromethanesulfonate,303.0,1.0,FC(S(=O)(=O)[O-])(F)F.C(CCC)[N+]1=CC(=CC=C1)C
1-butyl-3-methylimidazolium trifluoromethanesulfonate,285.0,1.0,FC(S(=O)(=O)[O-])(F)F.C(CCC)N1C=[N+](C=C1)C
1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,272.0,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[N+]1=CC(=CC=C1)C
trimethylsulfonium bis(trifluoromethylsulfonyl)imide,322.43,0.5,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[S+](C)C
trimethylammonium bis((trifluoromethyl)sulfonyl)amide,357.35,0.5,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C[NH+](C)C
1-butyl-3-methylimidazolium chloride,344.6,0.0,[Cl-].C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium bromide,351.1,2.0,[Br-].C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,285.8,0.0,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,285.3,0.0,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,255.0,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,269.0,3.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,269.0,3.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C
1-hexyl-3-methylimidazolium trifluoromethanesulfonate,298.0,3.0,FC(S(=O)(=O)[O-])(F)F.C(CCCCC)N1C=[N+](C=C1)C
trimethylammonium dihydrogen phosphate,389.1,1.0,P(=O)(O)(O)[O-].C[NH+](C)C
trimethylammonium hydrogen sulfate,402.1,1.0,S(=O)(=O)(O)[O-].C[NH+](C)C
1-butyl-3-methylimidazolium hydrogen sulfate,301.9,2.0,S(=O)(=O)(O)[O-].C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium chloride,342.95,0.5,[Cl-].C(CCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium chloride,361.75,0.5,[Cl-].C(C)N1C=[N+](C=C1)C
"N,N,N-triethyl-N-hexylammonium tetrafluoroborate",361.35,0.5,F[B-](F)(F)F.C(C)[N+](CCCCCC)(CC)CC
tetraethylammonium hexafluorophosphate,350.25,0.5,F[P-](F)(F)(F)(F)F.C(C)[N+](CC)(CC)CC
"N,N,N-triethyloctan-1-aminium hexafluorostibate",346.75,0.5,
tetraethylammonium tetrafluoroborate,344.55,0.5,F[B-](F)(F)F.C(C)[N+](CC)(CC)CC
"N,N,N-triethyl-N-octylammonium tetrafluoroborate",374.55,0.5,F[B-](F)(F)F.C(C)[N+](CCCCCCCC)(CC)CC
"N,N,N-triethyl-N-octylammonium hexafluorophosphate",361.45,0.5,F[P-](F)(F)(F)(F)F.C(C)[N+](CCCCCCCC)(CC)CC
"N,N-dimethyl-N-ethyl-N-pentylammonium bis(trifluoromethylsulfonyl)",266.7,1.1,
ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,279.2,1.1,
Didecyldimethylammonium nitrate,304.8,1.1,[N+](=O)([O-])[O-].C(CCCCCCCCC)[N+](C)(C)CCCCCCCCCC
1-butyl-3-methylimidazolium chloride,341.9,1.6,[Cl-].C(CCC)N1C=[N+](C=C1)C
"1-methyl-3-(9E)-9-octadecen-1-yl-1H-Imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",289.2,0.5,FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.CN1C=[N+](C=C1)CCCCCCCC\C=C\CCCCCCCC
"1-methyl-3-(9Z,12Z)-9,12-octadecadien-1-yl-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",226.4,0.5,FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.CN1C=[N+](C=C1)CCCCCCCC\C=C/C\C=C/CCCCC
1-oleyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,252.3,0.5,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCCCC\C=C/CCCCCCCC)N1C=[N+](C=C1)C
1-methyl-1-propylpyrrolidinium hexafluorophosphate,383.6,1.4,F[P-](F)(F)(F)(F)F.C[N+]1(CCCC1)CCC
tetrabutylphosphonium hexafluorophosphate,498.6,0.4,F[P-](F)(F)(F)(F)F.C(CCC)[P+](CCCC)(CCCC)CCCC
1-methyl-3-hexylimidazolium perfluorobutanesulfonate,296.75,0.5,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F.CN1C=[N+](C=C1)CCCCCC
tetrabutylammonium perfluorobutanesulfonate,327.13,0.5,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F.C(CCC)[N+](CCCC)(CCCC)CCCC
tetrabutylammonium hydrogen sulfate,444.65,0.5,S(=O)(=O)(O)[O-].C(CCC)[N+](CCCC)(CCCC)CCCC
1-propyl-3-methylpyridinium chloride,365.1,5.0,[Cl-].C(CC)[N+]1=CC(=CC=C1)C
1-butyl-3-methylpyridinium chloride,366.1,5.0,[Cl-].C(CCC)[N+]1=CC(=CC=C1)C
1-butyl-3-methylpyridinium chloride,370.1,5.0,[Cl-].C(CCC)[N+]1=CC(=CC=C1)C
1-pentyl-3-methylpyridinium chloride,365.1,5.0,[Cl-].C(CCCC)[N+]1=CC(=CC=C1)C
1-hexyl-3-methylpyridinium chloride,335.1,5.0,[Cl-].C(CCCCC)[N+]1=CC(=CC=C1)C
1-allyl-3-methylpyridinium chloride,381.1,5.0,[Cl-].C(C=C)[N+]1=CC(=CC=C1)C
1-decyl-3-methylpyridinium chloride,337.1,5.0,[Cl-].C(CCCCCCCCC)[N+]1=CC(=CC=C1)C
1-decyl-3-methylpyridinium chloride,328.1,5.0,[Cl-].C(CCCCCCCCC)[N+]1=CC(=CC=C1)C
1-nonyl-3-methylpyridinium chloride,337.1,5.0,[Cl-].C(CCCCCCCC)[N+]1=CC(=CC=C1)C
1-hexyl-3-methylpyridinium chloride,350.1,5.0,[Cl-].C(CCCCC)[N+]1=CC(=CC=C1)C
1-octyl-3-methylpyridinium chloride,342.1,5.0,[Cl-].C(CCCCCCC)[N+]1=CC(=CC=C1)C
1-octyl-3-methylpyridinium chloride,347.1,5.0,[Cl-].C(CCCCCCC)[N+]1=CC(=CC=C1)C
1-heptyl-3-methylpyridinium chloride,345.1,5.0,[Cl-].C(CCCCCC)[N+]1=CC(=CC=C1)C
"N,N-diethylprop-2-en-1-aminium trifluoromethanesulfonate",259.1,1.0,FC(S(=O)(=O)[O-])(F)F.C(C)[NH+](CC=C)CC
"N,N-dimethylpropan-1-aminium trifluoromethanesulfonate",293.1,1.0,FC(S(=O)(=O)[O-])(F)F.C[NH+](CCC)C
diethylmethylammonium trifluoromethanesulfonate,267.1,1.0,FC(S(=O)(=O)[O-])(F)F.C(C)[NH+](C)CC
"N,N-dimethylprop-2-en-1-aminium trifluoromethanesulfonate",289.1,1.0,FC(S(=O)(=O)[O-])(F)F.C[NH+](CC=C)C
N-methyl-N-propylpropan-1-aminium trifluoromethanesulfonate,290.1,1.0,FC(S(=O)(=O)[O-])(F)F.C[NH+](CCC)CCC
N-allyl-N-methylprop-2-en-1-aminium trifluoromethanesulfonate,254.2,1.0,FC(S(=O)(=O)[O-])(F)F.C(C=C)[NH+](CC=C)C
"N,N-diethylpropan-1-aminium trifluoromethanesulfonate",259.1,1.0,FC(S(=O)(=O)[O-])(F)F.C(C)[NH+](CCC)CC
"1,2,3-trimethylbenzoimidazolium bis((trifluoromethyl)sulfonyl)amide",336.0,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C[N+]1=C(N(C2=C1C=CC=C2)C)C
rubidium dinitramide,379.1,1.0,N[N+](=O)[O-].N[N+](=O)[O-].[Rb]
cesium dinitramide,362.1,1.0,N[N+](=O)[O-].N[N+](=O)[O-].[Cs]
"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide",355.3,7.1,[Br-].OCC[N+](CCCCCC)(C)C
"N-(2-hydroxyethyl)-N,N-dimethylbutanaminium bromide",359.3,7.2,[Br-].OCC[N+](CCCC)(C)C
"N-(2-hydroxyethyl)-N,N-dimethylpropanaminium bromide",372.59,0.16,[Br-].OCC[N+](CCC)(C)C
"N-(2-hydroxyethyl)-N,N-dimethylpropanaminium bromide",372.6,7.5,[Br-].OCC[N+](CCC)(C)C
"1,5-diamino-4H-1,2,3,4-tetrazolium perchlorate",401.1,9.0,Cl(=O)(=O)(=O)[O-].N[N+]=1N=NNC1N
"1,5-diamino-4-methyl-1H-tetrazolium dinitramide",357.1,6.0,N[N+](=O)[O-].N[N+](=O)[O-].N[NH+]1N=NN(C1N)C
